first,last,name,identity,w.asian,mean.correct
Thomas,Wagner,Thomas Wagner,White,0,0.930693069306931
Richard,Hoffman,Richard Hoffman,White,0,0.924731182795699
Mary,Meyer,Mary Meyer,White,0,0.911111111111111
Richard,Schmidt,Richard Schmidt,White,0,0.905263157894737
Thomas,Snyder,Thomas Snyder,White,0,0.904761904761905
Michael,Wagner,Michael Wagner,White,0,0.9
Robert,Snyder,Robert Snyder,White,0,0.889908256880734
Mark,Meyer,Mark Meyer,White,0,0.885714285714286
Mark,Hoffman,Mark Hoffman,White,0,0.885714285714286
David,Ryan,David Ryan,White,0,0.885714285714286
Mary,Ryan,Mary Ryan,White,0,0.884210526315789
John,Schmidt,John Schmidt,White,0,0.881720430107527
William,Schmidt,William Schmidt,White,0,0.873873873873874
James,Hoffman,James Hoffman,White,0,0.872549019607843
Robert,Hoffman,Robert Hoffman,White,0,0.872549019607843
Mark,Hansen,Mark Hansen,White,0,0.872340425531915
John,Ryan,John Ryan,White,0,0.87037037037037
William,Snyder,William Snyder,White,0,0.869565217391304
Richard,Meyer,Richard Meyer,White,0,0.864583333333333
Thomas,Meyer,Thomas Meyer,White,0,0.864197530864197
Thomas,Schmidt,Thomas Schmidt,White,0,0.864077669902913
John,Snyder,John Snyder,White,0,0.859649122807018
David,Snyder,David Snyder,White,0,0.858585858585859
David,Wagner,David Wagner,White,0,0.857142857142857
David,Hoffman,David Hoffman,White,0,0.854166666666667
John,Meyer,John Meyer,White,0,0.8515625
Thomas,Olson,Thomas Olson,White,0,0.85
Mark,Wagner,Mark Wagner,White,0,0.849462365591398
James,Ryan,James Ryan,White,0,0.848837209302326
Mary,Snyder,Mary Snyder,White,0,0.848214285714286
Michael,Hoffman,Michael Hoffman,White,0,0.847826086956522
William,Wagner,William Wagner,White,0,0.847826086956522
William,Hoffman,William Hoffman,White,0,0.847619047619048
David,Schmidt,David Schmidt,White,0,0.846153846153846
David,Meyer,David Meyer,White,0,0.846153846153846
James,Snyder,James Snyder,White,0,0.845238095238095
James,Schmidt,James Schmidt,White,0,0.844660194174757
Mary,Hoffman,Mary Hoffman,White,0,0.84375
Thomas,Larson,Thomas Larson,White,0,0.839622641509434
Mark,Schmidt,Mark Schmidt,White,0,0.838709677419355
Thomas,Hansen,Thomas Hansen,White,0,0.838095238095238
John,Hoffman,John Hoffman,White,0,0.837837837837838
David,Olson,David Olson,White,0,0.836538461538462
William,Larson,William Larson,White,0,0.835294117647059
Richard,Olson,Richard Olson,White,0,0.833333333333333
John,Olson,John Olson,White,0,0.828282828282828
Richard,Ryan,Richard Ryan,White,0,0.827956989247312
Robert,Wagner,Robert Wagner,White,0,0.825688073394495
Mary,Schmidt,Mary Schmidt,White,0,0.824175824175824
Thomas,Hoffman,Thomas Hoffman,White,0,0.823008849557522
Thomas,Ryan,Thomas Ryan,White,0,0.819672131147541
Mark,Ryan,Mark Ryan,White,0,0.819148936170213
Mark,Snyder,Mark Snyder,White,0,0.819047619047619
John,Larson,John Larson,White,0,0.819047619047619
Robert,Ryan,Robert Ryan,White,0,0.818181818181818
Robert,Meyer,Robert Meyer,White,0,0.817307692307692
Michael,Meyer,Michael Meyer,White,0,0.815533980582524
Michael,Snyder,Michael Snyder,White,0,0.815217391304348
Mary,Olson,Mary Olson,White,0,0.815217391304348
